character,dialogue_blocks
HOMER,3046
BART,1910
MARGE,1435
LISA,1005
BURNS,579
KRUSTY,305
SKINNER,302
SMITHERS,257
NED FLANDERS,249
CHIEF WIGGUM,174
GRANDPA,155
MOE,142
BARNEY,124
KRABAPPEL,114
MILHOUSE,114
SELMA,113
KENT BROCKMAN,100
MAN,91
PATTY,90
DAY,89
APU,86
MAYOR QUIMBY,75
HERB,74
CONTINUOUS,73
MARTIN,71
ANNOUNCER,69
TV,67
HUTZ,65
LENNY,62
LOVEJOY,60
NELSON,59
NIGHT,58
SCENE,56
WILLIE,55
SIDESHOW BOB,52
HIBBERT,51
JACQUES,50
EDDIE,47
SINCLAIR,47
CHALMERS,46
RALPH,45
CARL,43
MICHAEL,43
JIMBO,40
TONY,40
MARVIN MONROE,39
HOUSE,38
WOMAN,34
LOU,34
PRYOR,34
HOOVER,33
LAURA,32
BOY,29
GUY,29
VOICE,28
LATER,28
TV ANNOUNCER,28
TODD,28
JUDGE,28
ANGLE,27
DISSOLVE,27
KARL,27
SAMANTHA,26
KRUSTOFSKY,25
MEL,24
KANG,24
DANIELSON,24
REPORTER,23
MAUDE,23
GROUNDSKEEPER WILLIE,22
RIVIERA,22
HERMAN,22
WOLFE,22
ALL,21
NICK,21
TEACHER,21
CESAR,21
CLERK,20
PAGE,20
CROWD,19
MARTY,19
MELON,19
JASPER,18
ROD,18
WIDEN,18
OTTO,18
POV,18
ROOM,18
BOTZ,18
WEASEL,18
ADIL,18
MCCLURE,18
NIGEL,18
LOVELL,17
DOLL,17
KEARNY,17
FRINK,17
RAY,17
DOLPH,17
HORST,17
TROY,17
LARGO,16
CAPTAIN,16
JAILBIRD,16
MAGGIE,16
JERRY,16
BILL,16
BROKER,16
ATTORNEY,16
GABBO,16
EXECUTIVE,15
DOCTOR,15
FOREMAN,15
GUIDE,15
FADE,14
MORNING,14
MYERS,14
MURPHY,14
HAMILL,14
RECEPTIONIST,13
UGOLIN,13
MILLICENT,13
PAN,12
CUT,12
HOST,12
INSPECTOR,12
WAITER,12
KIDS,12
MURDOCK,12
RABBI KRUSTOFSKY,12
GUARD,11
NURSE,11
SHUTTON,11
STREET,11
EVENING,11
KITCHEN,11
CHRISTIAN,11
OLD MAN WINFIELD,11
WORKER,11
LEWIS,11
WORKERS,11
AGENT,11
GIRL,10
SCREEN,10
GIRLS,10
SALESMAN,10
HELEN,10
WIFE,10
A.,10
B.,10
HALLWAY,10
SIMPSONS,10
GOOFBALL,10
HUSBAND,10
JEBEDIAH,10
LOUIE,10
POWERS,10
