"character","dialogue","episode","annotation"
"LISA","Thanks.  ""Mr. Simpson. Stop. Your constant letters are becoming a nuisance. Stop. If you do not cease, I will be forced to pursue legal action. Stop. Signed, Boris Karloff, Hollywood, California.""","1F12   LISA VS MALIBU STACY","2"
"LISA","I’m warning you, Mom -- I may get a little crazy.","1F12   LISA VS MALIBU STACY","7"
"LISA","Hey, horse-face! Git yer ugly pie- hooks off that Summer Fun Set!","1F12   LISA VS MALIBU STACY","5"
"LISA","Come on, Stacy. I’ve waited my whole life to hear you speak. Don’t you have anything relevant to say?","1F12   LISA VS MALIBU STACY","3"
"LISA","It’s not funny, Bart! Millions of girls will grow up thinking this is the right way to act! (BUILDING TO A","1F12   LISA VS MALIBU STACY","2"
"LISA","Don’t you people see anything wrong with what Malibu Stacy says?","1F12   LISA VS MALIBU STACY","3"
"LISA","No, Celeste, I mean the things she says are sexist. The girls GIGGLE and cover their mouths.","1F12   LISA VS MALIBU STACY","8"
"LISA","They cannot keep making dolls like this! Something has to be done!","1F12   LISA VS MALIBU STACY","5"
"LISA","I can’t believe you’re just going to stand by as your daughters grow up in a world where this,  this is","1F12   LISA VS MALIBU STACY","7"
"LISA","Mom! We could go on the factory tour and I could complain in person!","1F12   LISA VS MALIBU STACY","8"
"LISA","Is the remarkably sexist drivel spouted by Malibu Stacy intentional, or is it just a horrible mistake?","1F12   LISA VS MALIBU STACY","3"
"LISA","It’s awful being a kid. No one listens to you.","1F12   LISA VS MALIBU STACY","7"
"LISA","Well, I’m not going to accomplish anything just sitting here--","1F12   LISA VS MALIBU STACY","1"
"LISA","Action! I’ve got to talk to that woman who invented Malibu Stacy and see if I can get her to --","1F12   LISA VS MALIBU STACY","3"
"LISA","I thought you might be able to help me get in touch with the inventor of","1F12   LISA VS MALIBU STACY","3"
"LISA","Excuse me. Miss Lovell? I’d like to talk to you about Malibu Stacy.","1F12   LISA VS MALIBU STACY","3"
"LISA","But you are Malibu Stacy, and as long as she has your name, you have a responsibility. I’d be mortified if someone ever made a lousy product with the Simpson name on it.","1F12   LISA VS MALIBU STACY","8"
"LISA","But if you can learn from Malibu Stacy’s mistakes, so can everyone. I’m sure we can think of something together. C/’mon!","1F12   LISA VS MALIBU STACY","8"
"LISA","I’ve got the solution -- you and I are going to make our own talking doll. She’ll have the wisdom of Jeanne Kirkpatrick and the wit of Cathy Guisewite, the tenacity of Nina Totenberg and the common sense of Elizabeth Cady Stanton. And to top it off, the down-to-earth good looks of Eleanor Roosevelt!","1F12   LISA VS MALIBU STACY","5"
"LISA","""... mais seulement pour les coeurs des femmes."" Let me try that again.","1F12   LISA VS MALIBU STACY","1"
"LISA","Wow! This is just how the Malibu Stacy corporation got started.","1F12   LISA VS MALIBU STACY","3"
"LISA","Wait! Don’t be fooled! She’s just a regular Malibu Stacy with a stupid cheap hat! She still embodies all the awful stereotypes she did before. Smithers sticks his head out from the rear of the crowd.","1F12   LISA VS MALIBU STACY","8"
"LISA","Well, I guess you can’t beat big business. There’s just no room for the little guy.","1F12   LISA VS MALIBU STACY","8"
"LISA","You know, if we get through to just that one little girl, it will all be worth it.","1F12   LISA VS MALIBU STACY","8"
"LISA","Just take one of my geodes. (OFF HIS LOOK) The rocks on my desk. No, that's the Trilobite... That's petrified wood... That's a bran muffin.","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","5"
"LISA","Oh, no. This could wind up being as embarrassing as Grandparent's Day.","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","6"
"LISA","Miss Hoover, maybe things would calm down if we went back to class and tried to keep working.","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","3"
"LISA","I think you need Skinner. Everybody needs a good enemy. Holmes had his Moriarty. Mountain Dew has its Mello- Yello. Even Maggie has that baby with","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","3"
"LISA","Mom, Dad threw his beer can at the Miracle Gro guy on TV. Can I recycle","22 SHORT FILMS ABOUT SPRINGFIELD","2"
"LISA","No, it's somebody's gross gum! Get it out!  Ow! Ow! It's pulling out my hairs!","22 SHORT FILMS ABOUT SPRINGFIELD","5"
"LISA","I love it! I'm going to have my high school yearbook picture taken right now! Thanks! She KISSES the barber and runs out.","22 SHORT FILMS ABOUT SPRINGFIELD","7"
"LISA","Eeew. Bart, don’t put the non- marshmallow pieces back in the box. They go in the trash.","2F06   HOMER BADMAN","2"
"LISA","Sorry about my sexist brother. He will make the next few hours a living hell.","2F06   HOMER BADMAN","2"
"LISA","Dad! We got a great idea on how you can clear your name!","2F06   HOMER BADMAN","2"
"LISA","I’d like to start a jazz program for the music department. We’ve got a really great instructor lined up... She opens the door, revealing a distinguished GENTLEMAN.","2F16   WHO SHOT MR. BURNS","3"
"LISA","He’s ready to give up the drudgery of the professional mambo circuit and settle into a nice teaching job.","2F16   WHO SHOT MR. BURNS","3"
"LISA","It is unfeasible to resurrect the dead, Bart. And even if the Three Stooges were alive, I doubt they’d want to hang around with you.","2F16   WHO SHOT MR. BURNS","2"
"LISA","I can’t wait to have jazz class with Tito Puente.","2F16   WHO SHOT MR. BURNS","7"
"LISA","What’s the matter, Dad? You look different. She gestures to the ""family portrait"" (the one with Homer strangling Bart, etc.) with the Simpsons drawn in their 1989 style.","2F16   WHO SHOT MR. BURNS","2"
