"character","dialogue","episode","annotation"
"MARGE","I understand, honey. When I was your age there was a... Lisa has already disappeared into a mob of girls.","1F12   LISA VS MALIBU STACY","7"
"MARGE","Hm. I don’t know if it’s a good idea to do that while you’re driving.","1F12   LISA VS MALIBU STACY","8"
"MARGE","Lisa -- ordinarily, I’d say you should stand up for what you believe in, but you have been doing that an awful lot lately.","1F12   LISA VS MALIBU STACY","8"
"MARGE","I had a Malibu Stacy when I was little, and I turned out all right.  Now let’s forget our troubles with a big bowl of strawberry ice cream. Lisa pulls Malibu Stacy’s string. Now let’s forget our troubles with a big bowl of strawberry ice cream!","1F12   LISA VS MALIBU STACY","8"
"MARGE","Honey, you’re not going to throw red paint at the executives or chain yourself to the fence, are you? The Maybelline people were very angry...","1F12   LISA VS MALIBU STACY","7"
"MARGE","I’m very flattered to be the model for your doll. I wonder if this is how Cheryl Tiegs got started.","1F12   LISA VS MALIBU STACY","7"
"MARGE","Homer, all you have to do is lead a meeting once a month.","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","2"
"MARGE","I feel bad for poor Seymour Skinner. He must be very sad and lonely.","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","3"
"MARGE","We've found that Bart doesn't respond well to punishment. He responds better","1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG","2"
"MARGE","What are you exotic men going to do with me?","22 SHORT FILMS ABOUT SPRINGFIELD","3"
"MARGE","Maybe I should have taken that daydreaming class at the Learning","22 SHORT FILMS ABOUT SPRINGFIELD","8"
"MARGE","Are you sure? Maybe it's just shampoo. That washes right out.","22 SHORT FILMS ABOUT SPRINGFIELD","8"
"MARGE","Now stop, Lisa, stop it. You're just getting it more tangled. Wait -- if I remember my Heloise, the trick to","22 SHORT FILMS ABOUT SPRINGFIELD","2"
"MARGE","There. Now that gum should lift right out. she tugs on it unsuccessfully.","22 SHORT FILMS ABOUT SPRINGFIELD","5"
"MARGE","Hmmm... Maybe it needs a little mayonnaise to get going. (GRUNTS;","22 SHORT FILMS ABOUT SPRINGFIELD","8"
"MARGE","Oh, we've tried everything. Olive oil, lemon juice, tartar sauce, chocolate syrup, gravy, bacon fat, humms and baba ghanouj...","22 SHORT FILMS ABOUT SPRINGFIELD","5"
"MARGE","That’s the babysitter. (TO BART AND LISA) No one in town will sit for you two anymore. TI had to choose between a grad student at the university and a","2F06   HOMER BADMAN","2"
