character,dialogue,episode
GRANDPA,and JASPER are at the rear of the crowd.,1F12   LISA VS MALIBU STACY
HIBBERT,Welcome to the new Springfield Center for Geriatric Medicine. Health care for the aging is an important priority--,1F12   LISA VS MALIBU STACY
GRANDPA,"Get to Matlock! Maaaatlock! Jasper takes out an old, yellowed handkerchief and BLOWS",1F12   LISA VS MALIBU STACY
HIBBERT,"Well, without further ado, I give you the man who puts young people behind bars -- where they belong -- TV’s ""Matlock!""",1F12   LISA VS MALIBU STACY
JASPER,"What’s eatin’ you, Abe? For three weeks, all you been talkin’ bout was meeting Matlock. Now you met him, swiped his pills... ""Take one every hour to prevent spastic heart convulsions...” An ambulance ZOOMS past the minibus, sirens BLARING.",1F12   LISA VS MALIBU STACY
GRANDPA,"According to this life expectancy chart, I shoulda been dead in 1971.",1F12   LISA VS MALIBU STACY
JASPER,Y/’old fool. That says 1981.,1F12   LISA VS MALIBU STACY
GRANDPA,Oh. (RELIEVED SIGH},1F12   LISA VS MALIBU STACY
GRANDPA,"Hello. As you may know, I might not be around much longer, so I’ve decided te give you your inheritance before I die, that way I can see you enjoy it. Lisa, I know you like reading and... so forth... To you I give my lifetime of personal correspondence.",1F12   LISA VS MALIBU STACY
LISA,"Thanks.  ""Mr. Simpson. Stop. Your constant letters are becoming a nuisance. Stop. If you do not cease, I will be forced to pursue legal action. Stop. Signed, Boris Karloff, Hollywood, California.""",1F12   LISA VS MALIBU STACY
GRANDPA,"For Bart, your first step on the road to manhood -- all my pipes and pipe tobaccy. He gives Bart a pipe rack and a large can of Prince Albert.",1F12   LISA VS MALIBU STACY
GRANDPA,"And to my son, Homer...",1F12   LISA VS MALIBU STACY
GRANDPA,-.-And his entire family...,1F12   LISA VS MALIBU STACY
GRANDPA,--.l leave these. A box of mint- condition 1918 Liberty-Head silver dollars.,1F12   LISA VS MALIBU STACY
HOMER,"Dad, we’d love to stay here and listen to your amusing antidotes, but we have to take these coins to the mall and spend them.",1F12   LISA VS MALIBU STACY
GRANDPA,Nobody’s going nowhere! I paid good,1F12   LISA VS MALIBU STACY
GRANDPA,"Anyway, about my washtub. I had just used it that morning to wash my turkey, which in those days was known as a ""Walking Bird.""",1F12   LISA VS MALIBU STACY
HOMER,"Look, Maggie! It’s Sgt. Thug’s Mountaintop Command Post, complete with Death-bringer missiles that really launch}",1F12   LISA VS MALIBU STACY
MARGE,That toy isn’t safe for a baby like Maggie.,1F12   LISA VS MALIBU STACY
HOMER,"Ah, come on, Marge, you’re way too... ‘Homer picks up one of the pieces and cuts himself. He gets mad and HITS the Mountain, getting a severe ELECTRIC SHOCK and launching one of the plastic missiles straight into his mouth. We hear a muffled EXPLOSION which puffs out his cheeks.",1F12   LISA VS MALIBU STACY
BART,"Kites... Wood-burning set... AM Radio Kit... Oh man, who buys this crap?",1F12   LISA VS MALIBU STACY
MARTIN,"Salutations, Bart! -- I’ve come to purchase a stained-glass making kit, but I’m in a quandary as to which one. Will it be the Bouquet of Balloons? Chilly Charlie the Penguin?",1F12   LISA VS MALIBU STACY
BART,They all pretty much suck.,1F12   LISA VS MALIBU STACY
MARTIN,The Rainbow? Mother Goose? A skinny CHINESE MAN with glasses walks by.,1F12   LISA VS MALIBU STACY
BART,"Uh, there’s my Dad. Gotta go. (RUNS",1F12   LISA VS MALIBU STACY
GRANDPA,"When I was young, toys were built to last! Look at this junk! It breaks the first time you take it out of the",1F12   LISA VS MALIBU STACY
GRANDPA,And look at these toy soldiers! They’1l break the second I step on ‘em! ...Stupid toy soldier... He lays some toy soldiers on the ground and starts STOMPING on them. Two SECURITY GUARDS come up and hustle a confused Grampa out the door.,1F12   LISA VS MALIBU STACY
GUARD,"All right, come on, pops. Soldiers won’t bother you anymore.",1F12   LISA VS MALIBU STACY
HOMER,"One, two, three o’clock, four o’clock rock. Five, six, seven o’clock, eight o’clock rock!..",1F12   LISA VS MALIBU STACY
HOMER,"Rock! Rock, rock, rock! Rockrockrock! He starts jumping on the keys, then lays down and slithers on them, making a swimming motion. The music is a HORRIBLE",1F12   LISA VS MALIBU STACY
HOMER,"We’re gonna rock, gonna rock around the clock TO-NIGHHHTTT! For the last note, he makes a running leap and lands on the keys with a LOUD CRASH. A network of cracks shoots through the shattered keyboard, and we hear EAR-SPLITTING FEEDBACK.",1F12   LISA VS MALIBU STACY
HOMER,"Thank you, thank you very much!",1F12   LISA VS MALIBU STACY
LISA,"I’m warning you, Mom -- I may get a little crazy.",1F12   LISA VS MALIBU STACY
MARGE,"I understand, honey. When I was your age there was a... Lisa has already disappeared into a mob of girls.",1F12   LISA VS MALIBU STACY
LISA,"Hey, horse-face! Git yer ugly pie- hooks off that Summer Fun Set!",1F12   LISA VS MALIBU STACY
ANGLE,"Girls are pawing through a bin labelled ""Close-Outs."" We see ""Achy-Breaky"" Stacy is $1.99. We see ""Live from the Improv"" Stacy is only 89 cents. It’s a Stacy making a zany",1F12   LISA VS MALIBU STACY
LISA,"Lisa is looking at ""Crackpot Stacy,"" who is wearing a hat made of foil and holding a sign saying ""Ask Me About the Trilateral Commission."" A STOCKBOY carries in a big box and starts cutting it open. Little girls crowd around him.",1F12   LISA VS MALIBU STACY
GIRL,"Hey, mister, what’s in the box?",1F12   LISA VS MALIBU STACY
MARGE,Hm. I don’t know if it’s a good idea to do that while you’re driving.,1F12   LISA VS MALIBU STACY
HOMER,"Marge, that’s what I bought it for!",1F12   LISA VS MALIBU STACY
GRANDPA,"Watch it, kid! You’1ll put out my real",1F12   LISA VS MALIBU STACY
LISA,"Thanks for buying us these toys, Grampa.",1F12   LISA VS MALIBU STACY
GRANDPA,"Bah. Why didn’t you get something useful, like storm windows or a nice pipe organ?  I’m thirsty! Ew! What smells like mustard? There sure are a lotta ugly people in your neighborhood. Look at that one! Everyone is getting annoyed by Grampa’s complaining. The car pulls into the driveway, and everyone walks quickly into the house to get away from Grampa. He struggles to get out of the back seat.",1F12   LISA VS MALIBU STACY
GRANDPA,Hello! I can’t unbuckle my seat belt! Hello? Grampa leans over and EONKS THE HORN repeatedly.,1F12   LISA VS MALIBU STACY
GRANDPA,"There are too many leaves in your walkway! We hear two bedroom doors SLAM upstairs, and then we hear the blender TURN ON LOUDLY in the kitchen, drowning Grampa out. He sits down on the couch. A second later, Homer tries to sneak through the room without being noticed, but snags his foot in a telephone cord, pulling the phone off",1F12   LISA VS MALIBU STACY
GRANDPA,Why are you pecple avoiding me? Does my withered face remind you of the grim specter of death?,1F12   LISA VS MALIBU STACY
HOMER,Yes. But there’s more.,1F12   LISA VS MALIBU STACY
HOMER,"Dad, I love you, but: you are a weird, sore-headed old crank and nobody likes you.",1F12   LISA VS MALIBU STACY
GRANDPA,Consarn it!  I guess I am an old crank. But what am I gonna do about it?,1F12   LISA VS MALIBU STACY
TV,We see the end of a typical soda commercial in which old people become impossibly spry and hip just by drinking soda. They’re all dancing around and PLAYING ELECTRIC,1F12   LISA VS MALIBU STACY
MAN,One sip and I’m totally hip! (PARTY,1F12   LISA VS MALIBU STACY
GRANDPA,He has been watching intently.,1F12   LISA VS MALIBU STACY
GRANDPA,"Hcly smokes, that’s it! From now on, I’m thinkin’, actin’, and lookin’ young! And I’m gonna start with a bottle of Buzz Cola! He grabs a bottle of Buzz from Homer and takes a huge swig.",1F12   LISA VS MALIBU STACY
GRANDPA,"Ow! The bubbles are burning my tongue! Ow! Eh! Water, water!",1F12   LISA VS MALIBU STACY
LISA,A hush falls over the General Assembly as Stacy approaches the podium to deliver what will no doubt be a stirring and memorable address.,1F12   LISA VS MALIBU STACY
LISA,"Come on, Stacy. I’ve waited my whole life to hear you speak. Don’t you have anything relevant to say?",1F12   LISA VS MALIBU STACY
BART,"Right on! Say it, sister!",1F12   LISA VS MALIBU STACY
LISA,"It’s not funny, Bart! Millions of girls will grow up thinking this is the right way to act! (BUILDING TO A",1F12   LISA VS MALIBU STACY
BART,Just what I was gonna say.,1F12   LISA VS MALIBU STACY
GRANDPA,"Look at me! I’m actin’ young! Woooow! Malibu Stacy flies into the spokes of the bike, sending Grampa flipping over the handlebars and into a nearby cemetery where he disappears into an open grave.",1F12   LISA VS MALIBU STACY
GRANDPA,Eh. This ain’t so bad.,1F12   LISA VS MALIBU STACY
LISA,Don’t you people see anything wrong with what Malibu Stacy says?,1F12   LISA VS MALIBU STACY
GIRL,"Oh, there’s something wrong with what my Stacy says.",1F12   LISA VS MALIBU STACY
LISA,"No, Celeste, I mean the things she says are sexist. The girls GIGGLE and cover their mouths.",1F12   LISA VS MALIBU STACY
LISA,They cannot keep making dolls like this! Something has to be done!,1F12   LISA VS MALIBU STACY
MARGE,"Lisa -- ordinarily, I’d say you should stand up for what you believe in, but you have been doing that an awful lot lately.",1F12   LISA VS MALIBU STACY
BART,"Yeah, you made us march in that Gay Rights Parade.",1F12   LISA VS MALIBU STACY
HOMER,And we can’t watch Fox ‘cause they own those chemical weapons plants in Syria.,1F12   LISA VS MALIBU STACY
LISA,"I can’t believe you’re just going to stand by as your daughters grow up in a world where this,  this is",1F12   LISA VS MALIBU STACY
MARGE,"I had a Malibu Stacy when I was little, and I turned out all right.  Now let’s forget our troubles with a big bowl of strawberry ice cream. Lisa pulls Malibu Stacy’s string. Now let’s forget our troubles with a big bowl of strawberry ice cream!",1F12   LISA VS MALIBU STACY
LISA,That’s it! I’m calling the company!,1F12   LISA VS MALIBU STACY
LISA,Mom! We could go on the factory tour and I could complain in person!,1F12   LISA VS MALIBU STACY
MARGE,"Honey, you’re not going to throw red paint at the executives or chain yourself to the fence, are you? The Maybelline people were very angry...",1F12   LISA VS MALIBU STACY
MAN,"Aw, crap.  There’s a clog in the torso chute! Leroy, get your ass in gear.",1F12   LISA VS MALIBU STACY
SCREEN,We see cheesy corporate video effects with different Malibu Stacies swirling around the globe. SYNTHESIZER MUSIC plays.,1F12   LISA VS MALIBU STACY
